,Sentence,Positive,Neutral,Negative
0,"Hi, this is Kerry R. Tech with Wicked Stocks, bringing you your daily and video report from Monday, November 10th, 2025.",6.524383934447542e-06,0.9997885823249817,0.00020487053552642465
1,Let's take a look at the charts.,1.7148483948403737e-06,0.9999810457229614,1.7228059732588008e-05
2,I am going to start with this chart.,6.227762696653372e-07,0.9999783039093018,2.106982901750598e-05
3,There's a lot here to break down.,3.8134706414894026e-07,0.9993768334388733,0.0006228711572475731
4,We'd mentioned the low 180s as pullback support that can contain selling through the rest of the year.,0.000139232084620744,0.9994961023330688,0.0003646113909780979
5,This is still true.,0.0005971636273898184,0.6611005067825317,0.3383023738861084
6,We got a nice bounce off of this formation later Friday.,0.9964106678962708,0.0035884638782590628,8.67937501425331e-07
7,"We tested it on Friday, broke it on Friday, not by a wide margin.",1.4928501457234233e-07,0.9999843835830688,1.5551026081084274e-05
8,It is 182.72 on the daily chart.,1.867923060672183e-08,0.9999990463256836,9.589374485585722e-07
9,I'll show that in a moment.,4.757115220854757e-06,0.9999825954437256,1.2619227163668256e-05
10,"But, you know, from here, we can round up, recover nicely with present volatility, like within two to three weeks.",0.9966448545455933,0.0018096634885296226,0.0015455139800906181
11,"But normally, I would say by the end of the year, we could push into that 219.64 level, which is a full swing, January, minus April plus January high.",5.4940132940828335e-06,0.9998103976249695,0.00018416423699818552
12,"We also have, you know, this rising channel top.",0.06680823117494583,0.9327167272567749,0.0004750009684357792
13,We have another wave count that goes much further back to 22.,3.5827029023494106e-06,0.999961256980896,3.521301914588548e-05
14,So there's a lot going on.,2.6638467716111336e-06,0.9998433589935303,0.00015401453129015863
15,"I'm just going to round up to the upper 220s, because I think that is our big resistance area.",1.8191636854680837e-06,0.9999340772628784,6.412051880033687e-05
16,"And yes, I do see it as in reach over the next two to three months at the most above 183.42.",9.82085766736418e-05,0.999785840511322,0.00011598867422435433
17,So 183.42 trend support.,0.021603574976325035,0.9781469702720642,0.00024940696312114596
18,We tested it.,9.835705895966385e-06,0.9996758699417114,0.00031423286418430507
19,"Despite the big sell off that occurred last week, this area did hold pretty well.",0.9999822378158569,9.493095603829715e-06,8.227460057241842e-06
20,"You know, if you had, well, if you had a tight stop loss, you got stopped off and stopped out in a long position.",9.401115676155314e-05,0.000465122313471511,0.9994408488273621
21,"Maybe you clamored to get back on the long side late in the day as it became obvious we were going to close above this structure, because having closed above it does keep open the possibility.",4.805480784852989e-06,0.9982713460922241,0.0017238968284800649
22,"And in fact, I'm going to call it an objective, a two to three week target now at 214.82, which is a newly formed rising channel top based in part on this low that was put out Friday.",3.031629148608772e-06,0.999995231628418,1.838954972299689e-06
23,So you've got a sister formation.,4.5316673435991106e-07,0.999996542930603,3.0101930406090105e-06
24,You've got channel support at 182.72 and you have it sister channel top at 214.82 over the next two to three weeks.,1.8712687506194925e-06,0.9999974966049194,5.487769954015675e-07
25,This is what we're anticipating.,4.9664009566185996e-05,0.9835923910140991,0.01635793410241604
26,"So, you know, if you're a two to three weeks main trader, there is nothing to be but long right now holding above that 183.42 level.",5.5227254051715136e-05,0.999445378780365,0.0004993400652892888
27,And that's at 182.72 on the daily chart.,3.2844763353523376e-08,0.9999984502792358,1.5314140000555199e-06
28,"If we close below it, we have a sell signal.",0.00018262656521983445,0.4237850308418274,0.5760323405265808
29,"But now while we're talking about the upside, let's continue with the upside in terms of our resistance.",0.9999653100967407,3.393832957954146e-05,7.589398478557996e-07
30,There is this steeply descending channel top today at 192.58.,3.018370264840087e-08,0.9999980926513672,1.936074568220647e-06
31,I see this as our upward pivot point for the week.,0.5030658841133118,0.49665889143943787,0.0002751729916781187
32,"In other words, if we were to close above 192.58, we have a good weekly low.",0.3644084334373474,0.6322109699249268,0.0033806650899350643
33,"And with present volatility, we could reach 207.04 by Friday's close.",5.514059466804611e-07,0.9999988079071045,5.564593834606057e-07
34,That would be quite a rally.,0.7133895754814148,0.260309100151062,0.026301344856619835
35,But I think that that is what is possible here.,0.000925909960642457,0.9761384725570679,0.022935569286346436
36,We have all these other little minor levels mapped out pretty well.,9.041268640430644e-06,0.9998515844345093,0.00013938112533651292
37,"We've got 195.55, which is a 50% upside retracement.",0.01517296303063631,0.06655492633581161,0.9182721376419067
38,"You know, as this continues to drop through the week, and if we don't close above it, and we close above it later in the week, let's say over the next couple of days, we'll probably upgrade 195.55 to a session containment level just because it's such close correlation with that earlier October high.",0.0009037761483341455,0.9985671043395996,0.0005291065899655223
39,"But I digress if we push through 192.58 today, 195.55 in reach, that could be it for the day.",1.588549309872178e-07,0.9999933242797852,6.5765502768044826e-06
40,"And if we close today above this descending channel top, as I say, a good low for the week, 207.04 then likely by the end of next week or sooner, could certainly be by Friday's close.",2.3067112124408595e-05,0.9999316930770874,4.516114495345391e-05
41,We're already anticipating 214.82.,9.646984153732774e-07,0.9999710321426392,2.797738488879986e-05
42,Remember as a two to three week target holding above that 183.42 level.,3.994323924416676e-05,0.9996192455291748,0.0003408164775464684
43,And I'm looking for the chart here again.,1.1509939668030711e-07,0.9999986886978149,1.133552018472983e-06
44,There it is.,6.2177300605981145e-06,0.9968883395195007,0.0031055347062647343
45,"No, that's not it.",5.446573777589947e-05,0.9974170923233032,0.0025284565053880215
46,That's not it.,0.000143813609611243,0.9890361428260803,0.010820052586495876
47,"My apologies, I get really sort of kind of there.",1.7058238881872967e-05,0.9989513158798218,0.001031594118103385
48,I think this is it.,3.944859417970292e-05,0.993911623954773,0.006048908922821283
49,Yes.,0.00016210101603064686,0.9991699457168579,0.0006679955404251814
50,214.82.,8.673162665218115e-05,0.9984464049339294,0.001466874498873949
51,Above the 183.42 to 182.72 area.,0.0004648326139431447,0.9994014501571655,0.00013371069508139044
52,That covers the upside.,0.9994686245918274,0.0005198956932872534,1.1380500836821739e-05
53,I think pretty well.,0.9999974966049194,2.335617409698898e-06,1.1881429173854485e-07
54,"If you're finding value in this analysis, it's only a glimpse of what we offer.",8.628121008769085e-07,0.9941909909248352,0.005808149464428425
55,Your real training edge starts at WickedStalks.com.,8.091654308373109e-06,0.9998233914375305,0.00016847715596668422
56,"Each week, premium members receive two high probability stock picks.",4.716327748610638e-05,0.9999465942382812,6.255246262298897e-06
57,"Each one comes with a complete trade plan, including exact entry, profit target, stop loss, and regular updates so you can manage the trade with confidence.",0.000240503839449957,0.9997555613517761,3.892305358021986e-06
58,"You'll also get daily video analysis in the top traded markets, the spy, the triple Q and Nvidia, highlighting the key price levels, trends, and trade setups we're focused on.",1.133147748078045e-06,0.9999985694885254,2.932513041287166e-07
59,"Whether you're day trading or swing trading, these insights help you zero in on the highest quality opportunities with clarity.",0.9999948740005493,5.112070539325941e-06,5.043236583901489e-08
60,Try it all free for five days.,1.4551620552083477e-05,0.9999271631240845,5.8342862757854164e-05
61,Cancel at any time.,8.578280358051416e-06,0.9997338652610779,0.00025752594228833914
62,Let's talk downside.,0.0002889903262257576,0.9991641044616699,0.000546917668543756
63,"If we were to with present volatility close today, Monday below 182.72, 164.07 that September low wouldn't surprise me by Friday's close.",6.748446139681619e-07,0.9995564818382263,0.00044276120024733245
64,"We've got minor levels all the way down, but I just wouldn't want you getting hung up on any of these old lows, which are these minor points.",8.126441571221221e-06,0.9570309519767761,0.04296094924211502
65,What I mean by that is a bottom picking for the day.,4.167472980043385e-07,0.999972939491272,2.668488014023751e-05
66,I just think that this market looks quite weak with a settlement today below 182.72.,8.095473162939015e-07,1.6376550775021315e-05,0.9999828338623047
67,"Now, if we get overnight weakness in the futures market, and for whatever reason, open below 182.72 today, we have a sell signal right out of the gates.",1.651787715672981e-05,0.0031437044963240623,0.9968397617340088
68,"Now, I wouldn't lean too heavily into that as the sort of destined then bearish continuation as we move into later November.",7.644086394975602e-07,0.9972385168075562,0.0027607691008597612
69,"That would indeed play out or at least be elicited, indicated if we were to settle today below 182.72.",1.3171637647246826e-06,0.9999377727508545,6.0910933825653046e-05
70,Let me just go with the settlement.,1.2917544154333882e-06,0.9997177720069885,0.0002809366269502789
71,"Closing today below 182.72, 164.07 in reach by the end of next week, possibly by the end of this week.",4.273055083103827e-07,0.9999972581863403,2.206487124567502e-06
72,Then I'm going to assume that we close the week.,3.619490840378603e-08,0.9999871253967285,1.2916879313706886e-05
73,Let me back up and reclareify that the short term target with a settlement below 182.72 is 164.07.,2.1898038085055305e-06,0.9999643564224243,3.3447107853135094e-05
74,"Whether that's by the end of this week or next week, that would be the idea.",7.114584263945289e-07,0.9999978542327881,1.432267936252174e-06
75,"But overall, I see within two to three weeks, 155.49.",8.820283881050273e-08,0.9999741315841675,2.576818224042654e-05
76,"So this is, and we've been watching this structure all along.",5.510945584319416e-07,0.9999679327011108,3.150531847495586e-05
77,"But for the time being, I'm bumping it up as kind of a trend of finding support level.",0.00010925411334028468,0.9962987303733826,0.003591997781768441
78,"We don't show it here, but it will be and is a four-star multi-week support level.",9.577280479788897e-08,0.9999983310699463,1.6033872043408337e-06
79,"So holding above 183.42 maintains bullish momentum through the rest of the year, despite the big sell-off that we saw last week.",1.0,1.3520089936491786e-08,9.50789136311414e-09
80,"But holding above 183.42 allows this market to recover nicely to 2.1964 or 2.14 and change over the next two to three weeks, and over the next couple of months, this upper two 20s.",0.999994158744812,4.560907200357178e-06,1.2754002227666206e-06
81,"On the other hand, if we close below 182.72, which is the same formation on the weekly chart at 183.42, we have a two to three week could be within one week, 155.49 objective.",5.024947213883024e-08,0.9999990463256836,9.075955631487886e-07
82,And I say one week because of last week's volatility.,5.112005055707414e-06,0.8284482955932617,0.17154660820960999
83,And so there you have it.,1.686264840827789e-05,0.999810516834259,0.00017270167882088572
84,"So if you're a one to three week swing trader, let's put it that way.",1.0110542234542663e-06,0.9999816417694092,1.744235669320915e-05
85,"If we close today below 182.72, your objective is 155.49.",5.092895207781112e-07,0.9999699592590332,2.9582373826997355e-05
86,"And here we could bottom out, given the fact that it's just above this old high area.",0.0002125060564139858,0.8764964938163757,0.12329099327325821
87,"If we tested it this week or the next couple of weeks, it may well contain selling through the rest of the year in into Q1 from here we can round up again.",6.422928322535881e-07,0.9999867677688599,1.2605159099621233e-05
88,"Finally, it would be a settlement below 155.49 that would then set up 117.80 as a, let's just call this a two to three month target.",8.244120181188919e-06,0.999962329864502,2.939883415820077e-05
89,I don't expect 117.80 unless we close below 155.49.,4.6258935526566347e-07,0.999767005443573,0.0002325290406588465
90,"I want to clarify that, because I've been mentioning now for the last few weeks that if we close below this low 180s support, I would expect not only the upper 140s to low 150s, but also possibly the 110s, 120s.",1.7290576579398476e-05,0.9919117093086243,0.008071085438132286
91,And I just don't see 117.80 as a clear cut objective unless we close below 155.49.,2.1160436517675407e-05,0.980804979801178,0.019173849374055862
92,I don't expect 155.49 unless we close today for instance below 182.72.,1.2489773837387474e-07,0.9999279975891113,7.18419614713639e-05
93,"Until then, we are in bottom picking territory in the low 180s.",2.2969745259615593e-05,0.9585617780685425,0.041415195912122726
94,There's 182.72 to 183.42 region anticipating 214.82 over the next two to three weeks.,1.0489945623248786e-07,0.9999994039535522,4.232636001688661e-07
95,"And over the next several months, I'm expecting the upper 220s.",8.822590643831063e-06,0.9999732971191406,1.7896962162922136e-05
96,It's about as simple as that.,1.3395022051554406e-06,0.9999895095825195,9.181052519124933e-06
97,I hope this all made sense.,0.11002229154109955,0.8674841523170471,0.02249358408153057
98,I am going to leave it at that.,2.0724093019452994e-07,0.9998936653137207,0.00010604479030007496
99,"Please click like, share, subscribe, check out WickedStox.com.",0.00033860481926240027,0.9992755055427551,0.00038594138459302485
100,I will be back tomorrow of course with Tuesdays and video report.,4.953251675487991e-08,0.9999983310699463,1.6780342093625222e-06
101,You have a great day.,0.8586972951889038,0.139957994222641,0.0013446644879877567
